,pdv,classes
0,17070,4
1,eneobangangte1,4
2,16666,4
3,14588,4
4,10245,4
5,26255,4
6,334,4
7,11323,4
8,24232,1
9,26612,4
10,337,4
11,26384,4
12,6706,4
13,26473,4
14,338,4
15,18420,4
16,11149,4
17,16938,4
18,26477,4
19,25089,4
20,19980,4
21,21543,4
22,23517,4
23,173,4
24,22010,4
25,295,4
26,15938,4
27,9434,4
28,2465,4
29,17993,4
30,9436,4
31,23859,4
32,6656,4
33,18521,4
34,24254,4
35,17254,4
36,14479,4
37,14336,4
38,26580,4
39,210,0
40,310,4
41,23629,4
42,25918,4
43,23069,4
44,26702,4
45,17127,4
46,1700,4
47,215,4
48,24305,4
49,3445,4
50,25964,4
51,20336,4
52,19897,4
53,19907,4
54,7109,4
55,6590,4
56,919,4
57,335,4
58,22131,4
59,18531,4
60,25524,4
61,11686,4
62,15958,1
63,14743,4
64,1077,4
65,9582,4
66,26746,4
67,16942,4
68,26065,4
69,26229,4
70,341,4
71,10675,4
72,26581,4
73,14824,4
74,14214,1
75,11950,4
76,245,4
77,25114,2
78,6740,4
79,3615,4
80,6577,4
81,11311,4
82,19901,4
83,14725,4
84,19936,4
85,7555,4
86,25711,4
87,110,4
88,26316,4
89,26735,4
90,6870,4
91,26171,4
92,248,4
93,21045,4
94,26295,4
95,1618,4
96,6091,4
97,19249,4
98,19330,4
99,62,4
100,19702,4
101,1711,4
102,26356,4
103,6154,4
104,13811,4
105,24032,4
106,26544,4
107,25917,4
108,26364,4
109,24888,4
110,26283,4
111,11833,4
112,1937,4
113,26517,4
114,25962,4
115,23321,4
116,22011,4
117,19496,4
118,231,4
119,4393,4
120,1718,4
121,23620,4
122,6759,4
123,344,4
124,17762,1
125,26272,4
126,8383,4
127,14025,4
128,13677,4
129,399,4
130,12863,4
131,3451,4
132,3372,4
133,3717,4
134,20444,4
135,14514,4
136,26673,4
137,14042,4
138,3436,4
139,8874,4
140,339,4
141,973,4
142,63,4
143,15368,4
144,26487,4
145,26773,4
146,16670,4
147,8143,4
148,441,4
149,26667,4
150,26264,4
151,16395,4
152,25534,4
153,20247,4
154,19906,4
155,23662,4
156,17409,4
157,7195,1
158,20375,4
159,19900,4
160,26675,4
161,24291,4
162,26281,4
163,885,4
164,26075,4
165,14709,4
166,438,4
167,25536,4
168,5199,4
169,6166,4
170,15207,4
171,10763,4
172,24994,4
173,15082,4
174,22728,4
175,1912,4
176,11919,4
177,24374,4
178,20939,4
179,15261,4
180,26326,4
181,26151,4
182,2778,4
183,943,4
184,612,4
185,893,4
186,14883,4
187,26441,4
188,7347,4
189,26181,4
190,9096,4
191,26774,4
192,26709,4
193,eneomboudaMIT8,4
194,26208,4
195,WinTsamo,4
196,14105,4
197,26714,4
198,415,4
199,17401,4
200,13715,4
201,1198,4
202,26290,4
203,3503,4
204,26535,4
205,18060,4
206,1585,4
207,9469,4
208,26288,4
209,7758,4
210,26760,4
211,26424,4
212,2516,4
213,15344,4
214,18315,4
215,15078,4
216,26215,4
217,13615,4
218,815,4
219,914,4
220,26433,4
221,10682,4
222,8657,4
223,16951,4
224,23931,4
225,8931,4
226,25558,4
227,1216,4
228,1383,4
229,4765,1
230,16391,4
231,3134,4
232,16750,4
233,25902,4
234,2414,4
235,12254,4
236,23680,4
237,24730,4
238,13136,4
239,25448,4
240,26772,4
241,14711,4
242,12656,4
243,25090,4
244,24337,4
245,3580,4
246,25915,4
247,15222,4
248,17287,4
249,20905,4
250,16039,4
251,164,4
252,18112,4
253,26778,4
254,246,4
255,20051,4
256,24644,4
257,26271,4
258,9782,4
259,21476,1
260,26624,4
261,14067,4
262,26407,4
263,26788,4
264,13584,4
265,9116,4
266,8158,4
267,19291,4
268,1911,4
269,2888,4
270,18207,4
271,8303,4
272,26225,4
273,9470,4
274,17841,4
275,6751,4
276,20449,4
277,10766,4
278,10374,4
279,9797,4
280,16138,4
281,26097,4
282,13060,4
283,1560,4
284,17809,4
285,13882,4
286,26386,4
287,15021,4
288,1619,4
289,1261,4
290,384,4
291,23625,4
292,17689,4
293,1660,4
294,14191,4
295,4595,4
296,16537,4
297,15303,4
298,14936,4
299,8914,4
300,25755,4
301,6308,4
302,13411,4
303,1229,4
304,5754,4
305,7618,4
306,14869,4
307,9255,4
308,20300,4
309,12082,4
310,24290,4
311,23772,4
312,1477,4
313,17973,4
314,23079,4
315,15883,4
316,2937,4
317,26732,4
318,18461,4
319,17941,4
320,10764,4
321,21354,4
322,18710,4
323,11092,4
324,15937,4
325,7180,4
326,19751,1
327,26327,4
328,26330,4
329,14472,1
330,11034,4
331,19068,4
332,21785,4
333,12126,4
334,2674,4
335,14955,4
336,26235,4
337,14422,4
338,20329,4
339,9063,4
340,9743,1
341,22590,4
342,26719,4
343,22920,4
344,8419,4
345,9899,4
346,26763,4
347,26508,4
348,8353,4
349,6545,4
350,20130,4
351,ntmbang,4
352,9795,4
353,17104,4
354,25101,4
355,18861,4
356,19684,4
357,11671,4
358,7428,4
359,patbikeck,4
360,10950,4
361,25718,4
362,8639,4
363,19668,4
