,pdv,classes
0,17070,0
1,eneobangangte1,0
2,16666,0
3,14588,0
4,10245,0
5,26255,0
6,334,0
7,11323,0
8,24232,0
9,26612,0
10,337,0
11,26384,0
12,6706,0
13,26473,0
14,338,0
15,18420,0
16,11149,0
17,16938,0
18,26477,0
19,25089,0
20,19980,0
21,21543,0
22,23517,0
23,173,0
24,22010,0
25,295,0
26,15938,0
27,9434,0
28,2465,0
29,17993,0
30,9436,0
31,23859,0
32,6656,0
33,18521,0
34,24254,0
35,17254,0
36,14479,0
37,14336,0
38,26580,0
39,210,1
40,310,0
41,23629,0
42,25918,0
43,23069,0
44,26702,0
45,17127,0
46,1700,0
47,215,0
48,24305,0
49,3445,0
50,25964,0
51,20336,0
52,19897,0
53,19907,0
54,7109,0
55,6590,0
56,919,0
57,335,0
58,22131,0
59,18531,0
60,25524,0
61,11686,0
62,15958,0
63,14743,0
64,1077,0
65,9582,0
66,26746,0
67,16942,0
68,26065,0
69,26229,0
70,341,0
71,10675,0
72,26581,0
73,14824,0
74,14214,0
75,11950,0
76,245,0
77,25114,0
78,6740,0
79,3615,0
80,6577,0
81,11311,0
82,19901,0
83,14725,0
84,19936,0
85,7555,0
86,25711,0
87,110,0
88,26316,0
89,26735,0
90,6870,0
91,26171,0
92,248,0
93,21045,0
94,26295,0
95,1618,0
96,6091,0
97,19249,0
98,19330,0
99,62,0
100,19702,0
101,1711,0
102,26356,0
103,6154,0
104,13811,0
105,24032,0
106,26544,0
107,25917,0
108,26364,0
109,24888,0
110,26283,0
111,11833,0
112,1937,0
113,26517,0
114,25962,0
115,23321,0
116,22011,0
117,19496,0
118,231,0
119,4393,0
120,1718,0
121,23620,0
122,6759,0
123,344,0
124,17762,0
125,26272,0
126,8383,0
127,14025,0
128,13677,0
129,399,0
130,12863,0
131,3451,0
132,3372,0
133,3717,0
134,20444,0
135,14514,0
136,26673,0
137,14042,0
138,3436,0
139,8874,0
140,339,0
141,973,0
142,63,0
143,15368,0
144,26487,0
145,26773,0
146,16670,0
147,8143,0
148,441,0
149,26667,0
150,26264,0
151,16395,0
152,25534,0
153,20247,0
154,19906,0
155,23662,0
156,17409,0
157,7195,0
158,20375,0
159,19900,0
160,26675,0
161,24291,0
162,26281,0
163,885,0
164,26075,0
165,14709,0
166,438,0
167,25536,0
168,5199,0
169,6166,0
170,15207,0
171,10763,0
172,24994,0
173,15082,0
174,22728,0
175,1912,0
176,11919,0
177,24374,0
178,20939,0
179,15261,0
180,26326,0
181,26151,0
182,2778,0
183,943,0
184,612,0
185,893,0
186,14883,0
187,26441,0
188,7347,0
189,26181,0
190,9096,0
191,26774,0
192,26709,0
193,eneomboudaMIT8,0
194,26208,0
195,WinTsamo,0
196,14105,0
197,26714,0
198,415,0
199,17401,0
200,13715,0
201,1198,0
202,26290,0
203,3503,0
204,26535,0
205,18060,0
206,1585,0
207,9469,0
208,26288,0
209,7758,0
210,26760,0
211,26424,0
212,2516,0
213,15344,0
214,18315,0
215,15078,0
216,26215,0
217,13615,0
218,815,0
219,914,0
220,26433,0
221,10682,0
222,8657,0
223,16951,0
224,23931,0
225,8931,0
226,25558,0
227,1216,0
228,1383,0
229,4765,0
230,16391,0
231,3134,0
232,16750,0
233,25902,0
234,2414,0
235,12254,0
236,23680,0
237,24730,0
238,13136,0
239,25448,0
240,26772,0
241,14711,0
242,12656,0
243,25090,0
244,24337,0
245,3580,0
246,25915,0
247,15222,0
248,17287,0
249,20905,0
250,16039,0
251,164,0
252,18112,0
253,26778,0
254,246,0
255,20051,0
256,24644,0
257,26271,0
258,9782,0
259,21476,0
260,26624,0
261,14067,0
262,26407,0
263,26788,0
264,13584,0
265,9116,0
266,8158,0
267,19291,0
268,1911,0
269,2888,0
270,18207,0
271,8303,0
272,26225,0
273,9470,0
274,17841,0
275,6751,0
276,20449,0
277,10766,0
278,10374,0
279,9797,0
280,16138,0
281,26097,0
282,13060,0
283,1560,0
284,17809,0
285,13882,0
286,26386,0
287,15021,0
288,1619,0
289,1261,0
290,384,0
291,23625,0
292,17689,0
293,1660,0
294,14191,0
295,4595,0
296,16537,0
297,15303,0
298,14936,0
299,8914,0
300,25755,0
301,6308,0
302,13411,0
303,1229,0
304,5754,0
305,7618,0
306,14869,0
307,9255,0
308,20300,0
309,12082,0
310,24290,0
311,23772,0
312,1477,0
313,17973,0
314,23079,0
315,15883,0
316,2937,0
317,26732,0
318,18461,0
319,17941,0
320,10764,0
321,21354,0
322,18710,0
323,11092,0
324,15937,0
325,7180,0
326,19751,0
327,26327,0
328,26330,0
329,14472,0
330,11034,0
331,19068,0
332,21785,0
333,12126,0
334,2674,0
335,14955,0
336,26235,0
337,14422,0
338,20329,0
339,9063,0
340,9743,0
341,22590,0
342,26719,0
343,22920,0
344,8419,0
345,9899,0
346,26763,0
347,26508,0
348,8353,0
349,6545,0
350,20130,0
351,ntmbang,0
352,9795,0
353,17104,0
354,25101,0
355,18861,0
356,19684,0
357,11671,0
358,7428,0
359,patbikeck,0
360,10950,0
361,25718,0
362,8639,0
363,19668,0
364,26314,0
365,mbomahamt3,0
366,12302,0
367,14474,0
368,5321,0
369,3092,0
370,ntobono,0
371,21426,0
372,19803,0
373,12357,0
374,26668,0
375,19130,0
376,26767,0
377,26576,0
378,16389,0
379,25399,0
380,15398,0
381,3995,0
382,25497,0
383,12772,0
384,25761,0
385,186,0
386,26488,0
387,18689,0
388,24767,0
389,13644,0
390,6473,0
391,1326,0
392,23155,0
393,23063,0
394,12875,0
395,9095,0
396,26251,0
397,16664,0
398,19027,0
399,8280,0
400,8685,0
401,14555,0
402,25959,0
403,7102,0
404,26396,0
405,26000,0
