,pdv,classes
0,17070,3
1,eneobangangte1,3
2,16666,3
3,14588,3
4,10245,3
5,26255,3
6,334,3
7,11323,3
8,24232,0
9,26612,3
10,337,3
11,26384,3
12,6706,3
13,26473,3
14,338,3
15,18420,3
16,11149,3
17,16938,3
18,26477,3
19,25089,3
20,19980,3
21,21543,3
22,23517,3
23,173,3
24,22010,3
25,295,3
26,15938,3
27,9434,3
28,2465,3
29,17993,3
30,9436,3
31,23859,3
32,6656,3
33,18521,3
34,24254,3
35,17254,3
36,14479,3
37,14336,3
38,26580,3
39,210,1
40,310,3
41,23629,3
42,25918,3
43,23069,3
44,26702,3
45,17127,3
46,1700,3
47,215,3
48,24305,3
49,3445,3
50,25964,3
51,20336,3
52,19897,3
53,19907,3
54,7109,3
55,6590,3
56,919,3
57,335,3
58,22131,3
59,18531,3
60,25524,3
61,11686,3
62,15958,0
63,14743,3
64,1077,3
65,9582,3
66,26746,3
67,16942,3
68,26065,3
69,26229,3
70,341,3
71,10675,3
72,26581,3
73,14824,3
74,14214,0
75,11950,3
76,245,3
77,25114,2
78,6740,3
79,3615,3
80,6577,3
81,11311,3
82,19901,3
83,14725,3
84,19936,3
85,7555,3
86,25711,3
87,110,3
88,26316,3
89,26735,3
90,6870,3
91,26171,3
92,248,3
93,21045,3
94,26295,3
95,1618,3
96,6091,3
97,19249,3
98,19330,3
99,62,3
100,19702,3
101,1711,3
102,26356,3
103,6154,3
104,13811,3
105,24032,3
106,26544,3
107,25917,3
108,26364,3
109,24888,3
110,26283,3
111,11833,3
112,1937,3
113,26517,3
114,25962,3
115,23321,3
116,22011,3
117,19496,3
118,231,3
119,4393,3
120,1718,3
121,23620,3
122,6759,3
123,344,3
124,17762,0
125,26272,3
126,8383,3
127,14025,3
128,13677,3
129,399,3
130,12863,3
131,3451,3
132,3372,3
133,3717,3
134,20444,3
135,14514,3
136,26673,3
137,14042,3
138,3436,3
139,8874,3
140,339,3
141,973,3
142,63,3
143,15368,3
144,26487,3
145,26773,3
146,16670,3
147,8143,3
148,441,3
149,26667,3
150,26264,3
151,16395,3
152,25534,3
153,20247,3
154,19906,3
155,23662,3
156,17409,3
157,7195,0
158,20375,3
159,19900,3
160,26675,3
161,24291,3
162,26281,3
163,885,3
164,26075,3
165,14709,3
166,438,3
167,25536,3
168,5199,3
169,6166,3
170,15207,3
171,10763,3
172,24994,3
173,15082,3
174,22728,3
175,1912,3
176,11919,3
177,24374,3
178,20939,3
179,15261,3
180,26326,3
181,26151,3
182,2778,3
183,943,3
184,612,3
185,893,3
186,14883,3
187,26441,3
188,7347,3
189,26181,3
190,9096,3
191,26774,3
192,26709,3
193,eneomboudaMIT8,3
194,26208,3
195,WinTsamo,3
196,14105,3
197,26714,3
198,415,3
199,17401,3
200,13715,3
201,1198,3
202,26290,3
203,3503,3
204,26535,3
205,18060,3
206,1585,3
207,9469,3
208,26288,3
209,7758,3
210,26760,3
211,26424,3
212,2516,3
213,15344,3
214,18315,3
215,15078,3
216,26215,3
