,pdv,classes
0,17070,2
1,eneobangangte1,4
2,16666,2
3,14588,2
4,10245,2
5,26255,2
6,334,4
7,11323,4
8,24232,3
9,26612,2
10,337,4
11,26384,2
12,6706,4
13,26473,2
14,338,1
15,18420,4
16,11149,4
17,16938,2
18,26477,2
19,25089,0
20,19980,4
21,21543,2
22,23517,4
23,173,4
24,22010,4
25,295,3
26,15938,1
27,9434,1
28,2465,4
29,17993,2
30,9436,4
31,23859,4
32,6656,4
33,18521,4
34,24254,4
35,17254,4
36,14479,4
37,14336,2
38,26580,4
39,210,2
40,310,2
41,23629,2
42,25918,2
43,23069,1
44,26702,2
45,17127,2
46,1700,4
47,215,4
48,24305,2
49,3445,4
50,25964,2
51,20336,2
52,19897,4
53,19907,4
54,7109,2
55,6590,4
56,919,4
57,335,4
58,22131,2
59,18531,4
60,25524,2
61,11686,2
62,15958,3
63,14743,1
64,1077,0
65,9582,0
66,26746,4
67,16942,2
68,26065,2
69,26229,4
70,341,1
71,10675,4
72,26581,4
73,14824,4
74,14214,3
75,11950,2
76,245,4
77,25114,4
78,6740,4
79,3615,2
80,6577,4
81,11311,2
82,19901,2
83,14725,2
84,19936,4
85,7555,2
86,25711,2
87,110,4
88,26316,2
89,26735,2
90,6870,2
91,26171,4
92,248,4
93,21045,4
94,26295,2
95,1618,2
96,6091,4
97,19249,2
98,19330,4
99,62,4
100,19702,2
101,1711,4
102,26356,1
103,6154,2
104,13811,4
105,24032,2
106,26544,4
107,25917,4
108,26364,0
109,24888,2
110,26283,2
111,11833,4
112,1937,4
113,26517,2
114,25962,4
115,23321,2
116,22011,4
117,19496,4
118,231,4
119,4393,2
120,1718,4
121,23620,2
122,6759,4
123,344,4
124,17762,4
125,26272,2
126,8383,2
127,14025,2
128,13677,4
129,399,4
130,12863,2
131,3451,4
132,3372,4
133,3717,4
134,20444,0
135,14514,4
136,26673,2
137,14042,4
138,3436,4
139,8874,4
140,339,4
141,973,4
142,63,4
143,15368,4
144,26487,2
145,26773,4
146,16670,2
147,8143,2
148,441,4
149,26667,4
150,26264,0
151,16395,2
152,25534,2
153,20247,0
154,19906,4
155,23662,2
156,17409,2
157,7195,3
158,20375,0
159,19900,4
160,26675,4
161,24291,4
162,26281,2
163,885,4
164,26075,4
165,14709,4
166,438,2
167,25536,4
168,5199,2
169,6166,4
170,15207,4
171,10763,4
172,24994,2
173,15082,4
174,22728,0
175,1912,4
176,11919,4
177,24374,4
178,20939,4
179,15261,4
180,26326,2
181,26151,2
182,2778,4
183,943,4
184,612,4
185,893,0
186,14883,4
187,26441,0
188,7347,4
189,26181,4
190,9096,2
191,26774,4
192,26709,2
193,eneomboudaMIT8,4
194,26208,4
195,WinTsamo,4
196,14105,4
197,26714,4
198,415,0
199,17401,2
200,13715,4
201,1198,4
202,26290,0
203,3503,4
204,26535,4
205,18060,2
206,1585,4
207,9469,2
208,26288,2
209,7758,2
210,26760,2
211,26424,4
212,2516,4
213,15344,4
214,18315,2
215,15078,2
216,26215,4
217,13615,4
218,815,4
219,914,4
220,26433,0
221,10682,4
222,8657,2
223,16951,4
224,23931,2
225,8931,2
226,25558,4
227,1216,4
228,1383,2
229,4765,4
230,16391,2
231,3134,4
232,16750,2
233,25902,4
234,2414,4
235,12254,2
236,23680,4
237,24730,2
238,13136,4
239,25448,2
240,26772,2
241,14711,1
242,12656,4
243,25090,0
244,24337,4
245,3580,4
246,25915,2
247,15222,4
248,17287,4
249,20905,2
250,16039,4
251,164,4
252,18112,4
253,26778,2
254,246,4
255,20051,4
256,24644,4
257,26271,2
258,9782,0
259,21476,4
260,26624,2
261,14067,2
262,26407,2
263,26788,2
264,13584,4
265,9116,2
266,8158,4
267,19291,4
268,1911,4
269,2888,2
270,18207,2
271,8303,2
272,26225,2
273,9470,0
274,17841,2
275,6751,4
276,20449,4
277,10766,2
278,10374,2
279,9797,4
280,16138,4
281,26097,0
282,13060,0
283,1560,2
284,17809,0
285,13882,2
286,26386,4
287,15021,4
288,1619,4
289,1261,2
290,384,4
291,23625,2
292,17689,2
293,1660,4
294,14191,2
295,4595,2
296,16537,0
297,15303,2
298,14936,2
299,8914,2
300,25755,2
301,6308,4
302,13411,4
303,1229,4
304,5754,4
305,7618,4
306,14869,2
307,9255,4
308,20300,4
309,12082,2
310,24290,4
311,23772,2
312,1477,4
313,17973,4
314,23079,0
315,15883,4
316,2937,4
317,26732,4
318,18461,2
319,17941,2
320,10764,1
321,21354,4
322,18710,2
323,11092,2
324,15937,1
325,7180,4
326,19751,3
327,26327,2
328,26330,2
329,14472,3
330,11034,2
331,19068,2
332,21785,2
333,12126,2
334,2674,2
335,14955,4
336,26235,2
337,14422,4
338,20329,2
339,9063,4
340,9743,4
341,22590,2
342,26719,0
343,22920,4
344,8419,2
345,9899,2
346,26763,2
347,26508,0
348,8353,3
349,6545,2
350,20130,4
351,ntmbang,4
352,9795,4
